Feature,Scenario,Tags,Given,When,Then,All Steps
weather.gov API,Get alerts for a zone,api,Given the weather API is available,When I send a GET request to "/alerts/active/zone/{zoneId}",Then I should receive a 200 OK response with alert data,Given the weather API is available | When I send a GET request to "/alerts/active/zone/{zoneId}" | Then I should receive a 200 OK response with alert data
weather.gov API,Get alerts with invalid zone ID,api,Given the weather API is available,When I send a GET request to "/alerts/active/zone/invalid",Then I should receive a 404 Not Found response,Given the weather API is available | When I send a GET request to "/alerts/active/zone/invalid" | Then I should receive a 404 Not Found response
weather.gov API,Get forecast for a point,api,Given I have valid latitude and longitude coordinates,When I send a GET request to "/gridpoints/{wfo}/{x},{y}/forecast",Then I should receive a 200 OK response with forecast data,Given I have valid latitude and longitude coordinates | When I send a GET request to "/gridpoints/{wfo}/{x},{y}/forecast" | Then I should receive a 200 OK response with forecast data
weather.gov API,Get forecast with invalid coordinates,api,Given I have invalid coordinates,When I send a GET request to "/gridpoints/{wfo}/{x},{y}/forecast",Then I should receive a 400 Bad Request response,Given I have invalid coordinates | When I send a GET request to "/gridpoints/{wfo}/{x},{y}/forecast" | Then I should receive a 400 Bad Request response
weather.gov API,Get observation stations,api,Given the weather API is available,When I send a GET request to "/stations",Then I should receive a 200 OK response with station list,Given the weather API is available | When I send a GET request to "/stations" | Then I should receive a 200 OK response with station list
weather.gov API,Get observation for a station,api,Given I have a valid station ID,When I send a GET request to "/stations/{stationId}/observations/latest",Then I should receive a 200 OK response with observation data,Given I have a valid station ID | When I send a GET request to "/stations/{stationId}/observations/latest" | Then I should receive a 200 OK response with observation data
weather.gov API,Get observation with invalid station ID,api,Given I have an invalid station ID,When I send a GET request to "/stations/{stationId}/observations/latest",Then I should receive a 404 Not Found response,Given I have an invalid station ID | When I send a GET request to "/stations/{stationId}/observations/latest" | Then I should receive a 404 Not Found response
weather.gov API,Get zone forecast,api,Given I have a valid zone ID,When I send a GET request to "/zones/forecast/{zoneId}/forecast",Then I should receive a 200 OK response with zone forecast,Given I have a valid zone ID | When I send a GET request to "/zones/forecast/{zoneId}/forecast" | Then I should receive a 200 OK response with zone forecast
weather.gov API,Get zone list,api,Given the weather API is available,When I send a GET request to "/zones",Then I should receive a 200 OK response with zone list,Given the weather API is available | When I send a GET request to "/zones" | Then I should receive a 200 OK response with zone list
weather.gov API,Get point information,api,Given I have valid latitude and longitude,When I send a GET request to "/points/{point}",Then I should receive a 200 OK response with point information,Given I have valid latitude and longitude | When I send a GET request to "/points/{point}" | Then I should receive a 200 OK response with point information


